 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
1,375.361,912.833,768.101,946.914,2.462,2.819,5.798,6.639,6.218,24.504,21.320,0.034,0.043,0.085,0.101,0.201,0.238,0.156,7
2,334.426,907.488,1114.041,393.075,2.836,3.234,6.678,7.615,7.147,58.264,50.093,0.055,0.074,0.192,0.229,0.453,0.539,0.352,7
3,397.619,555.129,774.218,908.597,2.411,2.504,5.677,5.896,5.786,20.767,18.684,0.055,0.059,0.126,0.133,0.297,0.312,0.215,7
4,321.709,619.742,1264.518,1967.408,2.691,2.813,6.336,6.624,6.480,26.821,22.935,0.049,0.052,0.140,0.143,0.330,0.338,0.236,7
5,384.855,477.733,1413.261,1245.422,2.552,2.486,6.010,5.855,5.933,19.092,16.875,0.058,0.057,0.136,0.136,0.320,0.321,0.227,7
6,358.053,501.460,673.377,610.111,2.865,2.674,6.747,6.297,6.522,24.677,20.930,0.054,0.049,0.162,0.152,0.381,0.359,0.262,7
7,386.751,498.312,641.051,1720.205,3.409,3.058,8.027,7.200,7.614,56.182,49.507,0.081,0.069,0.358,0.331,0.844,0.779,0.574,7
8,388.502,367.008,300.872,1854.118,2.387,2.438,5.622,5.742,5.682,21.820,19.352,0.086,0.088,0.200,0.202,0.470,0.476,0.335,7
9,409.758,371.835,1112.881,1336.783,2.546,2.514,5.996,5.919,5.957,19.868,17.086,0.070,0.069,0.177,0.176,0.416,0.414,0.293,7
10,352.714,330.475,1301.295,99.152,2.246,2.350,5.289,5.535,5.412,12.993,12.366,0.065,0.069,0.137,0.140,0.322,0.330,0.231,7
11,357.458,348.642,292.447,1836.780,2.525,2.655,5.947,6.251,6.099,17.461,15.161,0.065,0.068,0.167,0.169,0.392,0.398,0.279,7
12,387.135,304.990,698.167,1517.514,2.262,2.175,5.327,5.121,5.224,13.306,13.755,0.086,0.083,0.161,0.159,0.379,0.373,0.266,7
13,381.004,266.187,808.205,1344.652,2.077,2.233,4.890,5.259,5.075,12.059,13.046,0.089,0.096,0.164,0.173,0.386,0.407,0.281,7
14,357.021,315.369,1924.628,1095.611,2.909,2.717,6.851,6.397,6.624,25.518,21.936,0.103,0.093,0.278,0.263,0.654,0.619,0.450,7
15,352.132,335.338,711.478,1416.175,2.601,2.659,6.124,6.262,6.193,14.663,13.333,0.070,0.079,0.153,0.170,0.359,0.400,0.269,7
16,346.448,282.125,823.831,641.930,2.436,2.491,5.736,5.865,5.800,16.278,14.199,0.079,0.081,0.192,0.194,0.451,0.457,0.321,7
17,311.784,315.582,1729.934,278.638,2.466,2.816,5.806,6.632,6.219,19.667,16.894,0.072,0.089,0.195,0.222,0.460,0.523,0.348,7
18,385.936,224.194,253.394,611.153,2.309,2.504,5.438,5.896,5.667,13.951,13.660,0.110,0.125,0.221,0.242,0.520,0.570,0.386,7
19,381.865,249.247,724.772,1489.733,2.517,2.348,5.926,5.529,5.727,14.645,13.706,0.102,0.096,0.210,0.207,0.495,0.487,0.347,7
20,376.989,289.244,855.985,660.868,2.813,2.557,6.623,6.021,6.322,24.288,20.561,0.098,0.087,0.278,0.261,0.654,0.614,0.449,7
21,300.283,375.514,1954.485,762.450,3.196,3.263,7.527,7.683,7.605,49.808,43.747,0.099,0.102,0.412,0.418,0.971,0.984,0.691,7
