 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
1,324.936,681.607,1254.944,530.043,2.490,2.577,5.865,6.069,5.967,21.008,17.989,0.038,0.040,0.100,0.102,0.235,0.241,0.168,5
2,362.594,735.660,386.071,1695.721,3.302,2.798,7.776,6.589,7.183,38.064,33.022,0.056,0.047,0.176,0.160,0.414,0.378,0.280,5
3,331.694,416.786,561.994,1094.416,2.609,2.768,6.144,6.518,6.331,22.053,18.725,0.057,0.063,0.166,0.176,0.392,0.414,0.285,5
4,295.900,225.255,1894.921,1050.870,2.108,2.221,4.965,5.229,5.097,9.848,10.320,0.083,0.088,0.157,0.163,0.370,0.383,0.266,5
5,320.140,190.175,1425.133,1079.759,1.735,1.862,4.087,4.384,4.236,6.938,11.979,0.107,0.115,0.154,0.162,0.362,0.382,0.263,5
6,350.517,338.245,1061.092,1768.551,2.826,3.247,6.655,7.645,7.150,40.455,34.882,0.089,0.112,0.353,0.397,0.830,0.936,0.625,5
7,370.132,187.005,1207.477,1784.054,2.110,2.455,4.968,5.780,5.374,12.143,12.295,0.113,0.133,0.226,0.248,0.532,0.583,0.395,5
8,317.073,155.447,1009.675,1864.656,1.827,2.079,4.302,4.896,4.599,8.608,12.202,0.137,0.157,0.216,0.237,0.508,0.558,0.377,5
9,315.184,155.075,1300.785,1249.760,1.994,1.878,4.695,4.422,4.558,7.858,11.045,0.136,0.128,0.210,0.201,0.493,0.474,0.342,5
10,339.801,150.737,644.436,657.543,2.212,2.585,5.209,6.087,5.648,12.087,11.584,0.128,0.155,0.273,0.305,0.643,0.718,0.482,5
11,377.083,188.488,1345.348,515.180,3.645,3.174,8.583,7.474,8.029,36.580,32.519,0.165,0.143,0.649,0.603,1.529,1.421,1.043,5
12,375.840,123.439,1561.997,931.694,1.936,2.032,4.560,4.785,4.673,9.015,11.791,0.174,0.184,0.284,0.294,0.668,0.693,0.481,5
13,304.057,145.898,817.785,1392.153,2.569,2.363,6.050,5.564,5.807,13.379,12.568,0.161,0.151,0.331,0.326,0.779,0.768,0.547,5
14,327.708,120.944,1212.156,1273.804,1.604,1.892,3.778,4.455,4.116,5.031,10.722,0.140,0.167,0.183,0.215,0.431,0.505,0.332,5
15,305.667,194.348,377.804,6.862,3.719,3.302,8.757,7.775,8.266,24.069,20.947,0.237,0.154,0.553,0.441,1.303,1.037,0.833,5
16,353.697,107.484,591.555,619.734,2.623,2.290,6.176,5.393,5.785,10.966,11.580,0.236,0.212,0.416,0.399,0.979,0.940,0.679,5
17,326.334,128.526,693.809,645.006,2.709,2.949,6.378,6.945,6.662,14.074,12.564,0.179,0.198,0.407,0.427,0.959,1.005,0.695,5
18,344.858,120.925,599.243,1133.040,3.185,2.570,7.500,6.053,6.776,17.218,15.197,0.218,0.173,0.528,0.468,1.243,1.103,0.831,5
19,284.728,122.955,1779.733,637.367,2.701,2.691,6.361,6.337,6.349,16.621,14.135,0.154,0.154,0.437,0.438,1.029,1.032,0.729,5
20,299.220,103.473,1819.342,1320.363,2.217,2.742,5.221,6.457,5.839,13.696,12.949,0.200,0.257,0.442,0.512,1.040,1.206,0.796,5
21,331.225,95.706,1370.167,501.131,2.796,2.655,6.584,6.251,6.418,18.382,15.970,0.255,0.253,0.645,0.659,1.519,1.551,1.085,5
22,345.944,108.478,656.775,666.690,2.349,2.511,5.531,5.913,5.722,9.836,10.505,0.191,0.249,0.334,0.435,0.787,1.025,0.646,5
23,306.281,111.294,1029.270,1863.982,2.029,2.495,4.779,5.876,5.327,7.362,8.613,0.138,0.183,0.241,0.301,0.568,0.708,0.454,5
